Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00134563507978511,-2.02581921593115E-05,0.0212281613916468,0,0,0,9.79985997865253,0.0164140264972666,2.86811488996906E-07,-1.5067102447872E-06,0.0480735946553678,-2.16128335468346E-08,0.0617116986752876,0,0,0,0,0,0,package://abcd/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/base_link.STL,,kt1-1;kt-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_Link,-4.55330217974392E-14,0,-0.00599202985851255,0,0,0,0.00728059546505731,1.23208431153556E-07,9.28154432510641E-24,-5.7832508426874E-23,1.23208431153556E-07,-4.69457027318134E-23,1.14807020557045E-07,0,0,0,0,0,0,package://abcd/meshes/camera_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/camera_Link.STL,,camera-1,Coordinate System17,Axis_camera_joint,camera_joint,prismatic,-0.12225,-0.0010282,0.046,1.5708,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
lidar_Link,0.000153907989378407,0.00676797122098363,-0.0224318722671598,0,0,0,1.22840227972681,0.000886765481793313,3.28322371554214E-06,1.68989093208162E-06,0.000567648619195593,0.000146088586939935,0.00101367876948125,0,0,0,0,0,0,package://abcd/meshes/lidar_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/lidar_Link.STL,,rplidar_main-1,Coordinate System18,,lidar_joint,fixed,0.010786,0.0056943,0.0987,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
left1_wheel_Link,-1.38777878078145E-17,-2.77555756156289E-17,8.67361737988404E-19,0,0,0,0.678584013175395,0.000360497756999429,-8.09870282623048E-40,1.17025383189539E-18,0.000360497756999429,-4.5364235985708E-37,0.00069554861350478,0,0,0,0,0,0,package://abcd/meshes/left1_wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/left1_wheel_Link.STL,,kt7-1,Coordinate System4,Axis1,left1_wheel_link_joint,continuous,-0.093647,-0.090012,0.0205,1.5708,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
left2_wheel_Link,0,0,1.73472347597681E-18,0,0,0,0.678584013175395,0.000360497756999429,-8.09870282623048E-40,1.17030147749868E-18,0.000360497756999429,-4.5364235985708E-37,0.00069554861350478,0,0,0,0,0,0,package://abcd/meshes/left2_wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/left2_wheel_Link.STL,,kt7-2,Coordinate System5,Axis3,left2_wheel_link_joint,continuous,0.093219,-0.090012,0.0205,1.5708,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
right1_wheel_Link,0,0,2.77555756156289E-17,0,0,0,0.678584013175396,0.000360497756999429,-8.09870282622094E-40,1.16725215888856E-18,0.000360497756999429,-4.53642359857081E-37,0.000695548613504781,0,0,0,0,0,0,package://abcd/meshes/right1_wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/right1_wheel_Link.STL,,kt7-3,Coordinate System6,Axis2,right1_wheel_link_joint,continuous,-0.093645,0.090012,0.0205,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
right2_wheel_Link,0,1.38777878078145E-17,-2.77555756156289E-17,0,0,0,0.678584013175395,0.000360497756999428,-1.55490309620423E-21,-6.28921963336042E-21,0.000360497756999428,-4.64544632009739E-21,0.000695548613504779,0,0,0,0,0,0,package://abcd/meshes/right2_wheel_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/right2_wheel_Link.STL,,kt7-4,Coordinate System8,Axis4,right2_wheel_link_joint,continuous,0.093215,0.090012,0.0205,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
tay1_Link,-9.65325780630244E-07,-0.000173956262423419,0.0112941437857941,0,0,0,0.1032156,3.02416803606903E-05,3.66060803139861E-10,2.5851798711052E-09,2.72954578390213E-05,4.65861615945074E-07,5.46934910894736E-06,0,0,0,0,0,0,package://abcd/meshes/tay1_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/tay1_Link.STL,,kt3-1,Coordinate System9,Axis5,tay1_joint,prismatic,-0.085478,-0.0012271,0.0978,0,0,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
tay2_Link,0,6.13398221105399E-15,-0.0350000000000032,0,0,0,0.02394,9.825375E-06,9.35713789238634E-24,-2.96504188459818E-23,9.95554875E-06,2.59149846794491E-21,2.2992375E-07,0,0,0,0,0,0,package://abcd/meshes/tay2_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/tay2_Link.STL,,kt4-2,Coordinate System10,Axis6,tay2_joint,prismatic,1.9422E-05,0.086269,0.03724,1.5708,0,3.1416,tay1_Link,0,0,-1,0,0,0,0,,,,,,,,
imu_Link,1.38777878078145E-17,0,-0.00249999999999803,0,0,0,0.0116509328220928,4.25569323350397E-07,6.48329308695075E-24,2.33995328475761E-24,2.70315132514325E-07,-1.57508292967511E-21,6.47338902439336E-07,0,0,0,0,0,0,package://abcd/meshes/imu_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://abcd/meshes/imu_Link.STL,,imu-1,Coordinate System14,Axis_imu,imu,prismatic,0.10998,0.00067806,0.046,0,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
